job_posting_url,vacancies,job_posting_number,salary,start_publication_date,end_publication_date,required_experience,educational_background,specialization,required_knowledge,skills,job_title,public_institution,ubication
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-009,"S/. 2,250.00",31/01/2025,13/02/2025,1 AÑO,TITULO PROFESIONAL UNIVERSITARIO,"CONTABILIDAD, ADMINISTRACION O A FINES",GESTION PUBLICA MUNICIPAL,GESTIONAR Y MANTENER ACTUALIZADO EL ARCHIVO DE DOCUMENTACION,ESPECIALISTA 1,Municipalidad Provincial De Tacna,TACNA - TACNA
https://convocatoria.minjus.gob.pe/convocatoria/public/index.xhtml,2,D.Leg 1057 - Determinado (Necesidad Transitoria)-111,"S/. 7,264.19",30/01/2025,12/02/2025,"•	EXPERIENCIA LABORAL GENERAL MÍNIMA DE DOS (02) AÑOS, EN EL SECTOR PÚBLICO Y/O PRIVADO (ACREDITAR CON CONSTANCIA, CERTIFICADO Y/O DOCUMENTO ANÁLOGO).
•	EXPERIENCIA ESPECÍFICA MÍNIMA DE DOS (02) AÑOS EN FUNCIÓN O MATERIA CONTADOS A PARTIR DE LA OBTENCIÓN DE SU COLEGIATURA EN EL SECTOR PÚBLICO Y/O PRIVADO (NIVEL MÍNIMO DE ANALISTA LEGAL O SIMILARES) (ACREDITAR CON CONSTANCIA, CERTIFICADO Y/O DOCUMENTO ANÁLOGO). 
•	EXPERIENCIA EN LITIGACIÓN EN PROCESOS PENALES (ACREDITAR CON CONSTANCIA, CERTIFICADO Y/O DOCUMENTO ANÁLOGO).","•	TÍTULO PROFESIONAL EN DERECHO, COLEGIADO Y HABILITACIÓN VIGENTE (ACREDITAR CON COPIA DEL TÍTULO, COPIA DE COLEGIATURA Y CONSTANCIA DE HABILITACIÓN VIGENTE, LA QUE DEBERÁ ESTAR VIGENTE HASTA LA FINALIZACIÓN DE LA ETAPA DE LA EVALUACIÓN CURRICULAR, CONFORME AL CRONOGRAMA DEL PRESENTE PROCESO DE CONTRATACIÓN).","•	DIPLOMADO EN LA ESPECIALIDAD DE DERECHO PENAL Y/O DERECHO PROCESAL PENAL Y/O EJECUCIÓN PENAL Y/O ADOLESCENTES EN CONFLICTO CON LA LEY PENAL Y/O TÉCNICAS DE LITIGACIÓN ORAL, EL CUAL DEBERÁ TENER UNA DURACIÓN NO MENOR DE NOVENTA (90) HORAS LECTIVAS, POR TANTO, LOS CERTIFICADOS Y/O CONSTANCIAS DEBEN INDICAR EL NÚMERO DE HORAS LECTIVAS, CASO CONTRARIO NO SERÁN TOMADOS EN CUENTA. (ACREDITAR CON CONSTANCIA Y/O CERTIFICADO). •	DIPLOMADO EN MATERIAS VINCULADAS AL NUEVO CÓDIGO PROCESAL PENAL, EL CUAL DEBERÁ TENER UNA DURACIÓN NO MENOR DE NOVENTA (90) HORAS LECTIVAS, POR TANTO, LOS CERTIFICADOS Y/O CONSTANCIAS DEBEN INDICAR EL NÚMERO DE HORAS LECTIVAS, CASO CONTRARIO NO SERÁN TOMADOS EN CUENTA. (ACREDITAR CON CONSTANCIA Y/O CERTIFICADO). •	DIPLOMADO EN MATERIAS VINCULADAS AL NUEVO CÓDIGO PROCESAL CONSTITUCIONAL, EL CUAL DEBERÁ TENER UNA DURACIÓN NO MENOR DE NOVENTA (90) HORAS LECTIVAS, POR TANTO, LOS CERTIFICADOS Y/O CONSTANCIAS DEBEN INDICAR EL NÚMERO DE HORAS LECTIVAS, CASO CONTRARIO NO SERÁN TOMADOS EN CUENTA. (ACREDITAR CON CONSTANCIA Y/O CERTIFICADO).","•	CONOCIMIENTOS TÉCNICOS (*): CONOCIMIENTOS EN DERECHO PENAL, DERECHO PROCESAL PENAL, DERECHO DE EJECUCIÓN PENAL, DERECHO PROCESAL CONSTITUCINAL, DERECHO CONSTITUCIONAL, DERECHOS HUMANOS, CRIMINALÍSTICA, CÓDIGO DEL NIÑO Y EL ADOLESCENTE, CÓDIGO DE RESPONSABILIDAD PENAL DEL ADOLCESCENTES, LITIGACIÓN ORAL.  •	CONOCIMIENTOS DE OFIMÁTICA (*): PROCESADOR DE TEXTOS (WORD, OPEN OFFICE WRITE, ETC.), HOJA DE CÁLCULO (EXCEL, OPENCALC, ETC.) PROGRAMA DE PRESENTACIONES (POWER POINT, PREZI, ETC.),  TODOS CON NIVEL DE DOMINIO BÁSICO.",•	COMPROMISO. •	RESPONSABILIDAD. •	VOCACIÓN DE SERVICIO. •	ADAPTABILIDAD – FLEXIBILIDAD. •	COMUNICACIÓN. •	ORIENTACIÓN A RESULTADOS. •	CONCIENCIA SOCIAL. •	CAPACIDAD DE ANÁLISIS Y SÍNTESIS. •	NEGOCIACIÓN. •	PROACTIVIDAD.,DEFENSOR PUBLICO EN EL NUEVO CODIGO PROCESAL PENAL,Ministerio De Justicia Y Derechos Humanos,TACNA - TACNA
https://www.munijorgebasadre.gob.pe,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-026,"S/. 3,000.00",30/01/2025,12/02/2025,EXPERIENCIA LABORAL DE 03 AÑOS EN CARGOS AFINES,BACHILLER Y/O TÉCNICO (03) AÑOS,ACREDITAR CAPACITACIONES PARA EL PUESTO.,EXPERIENCIA A LAS FUNCIONES A REALIZAR.,"SENTIDO DE RESPONSABILIDAD, CAPACIDAD DE TRABAJO BAJO PRESIÓN",TECNICO ADMINISTRATIVO I,Municipalidad Provincial Jorge Basadre,TACNA - LOCUMBA
https://extranet.cunamas.gob,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-031,"S/. 2,764.19",30/01/2025,12/02/2025,"•	EXPERIENCIA LABORAL GENERAL DE 01 AÑO.
•	EXPERIENCIA LABORAL ESPECÍFICA DE 01 AÑO EN SERVICIOS O PROGRAMAS O PROYECTOS RELACIONADOS A EQUIPOS TÉCNICOS PARA LA GESTIÓN, ACOMPAÑAMIENTO O ATENCIÓN EN SALUD PÚBLICA O PRIMERA INFANCIA O NIÑEZ O FAMILIAS O COMUNIDAD EN EL SECTOR PÚBLICO O PRIVADO CON POBLACIONES VULNERABLES.","•	TÍTULO O BACHILLER EN EDUCACIÓN (INICIAL O PRIMARIA O SECUNDARIA) O CIENCIAS DE LA SALUD HUMANA (ENFERMERÍA, PSICOLOGÍA, OBSTETRICIA, NUTRICIÓN) O CIENCIAS SOCIALES (SOCIOLOGÍA, TRABAJO SOCIAL O ANTROPOLOGÍA) O TITULO DE ESCUELA/INSTITUTO DE EDUCACIÓN SUPERIOR PEDAGÓGICO (INICIAL O PRIMARIA O SECUNDARIA) O TÍTULOS TÉCNICOS EN CIENCIAS DE LA SALUD (ENFERMERÍA Y FARMACIA)",•	“CURSOS Y/O CAPACITACIÓN EN DESARROLLO INFANTIL TEMPRANO Y/O PRIMERA INFANCIA Y/O TRABAJO CON FAMILIAS Y/O PROYECTOS SOCIALES Y/O DESARROLLO SOCIAL Y/O DESARROLLO HUMANO U OTROS TEMAS AFINES (ÚLTIMOS 5 AÑOS)”,"•	""CONOCIMIENTO EN OFIMÁTICA NIVEL BÁSICO (WORD, EXCEL, POWER POINT). •	LENGUA ORIGINARIA SEGÚN ÁMBITO DE TRABAJO - NIVEL INTERMEDIO (DE SER EL CASO)""  •	DISPONIBILIDAD PARA VIAJAR DENTRO Y FUERA DEL DEPARTAMENTO CUANDO EL SERVICIO LO AMERITE","•	COMUNICACIÓN ORAL, EMPATÍA, NEGOCIACIÓN Y PLANIFICACIÓN",ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO,Programa Nacional Cuna Mas,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-007,"S/. 3,750.00",29/01/2025,11/02/2025,4 AÑOS,TITULO PROFESIONAL UNIVERSITARIO,INGENIERIA AMBIENTAL,GESTION PUBLICA MUNICIPAL,ASEGURAR EL CUMPLIMIENTO DE PLANEFA Y LAS ACTIVIDADES CONTEMPLADAS EN EL POI-2025,ESPECIALISTA 2,Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",4,D.Leg 1057 - Determinado (Necesidad Transitoria)-007,"S/. 2,800.00",29/01/2025,11/02/2025,1 AÑO,TITULO PROFESIONAL UNIVERSITARIO,INGENIERIA AMBIENTAL,GESTION PUBLICA MUNICIPAL,MONITOREO Y EVALUACION DE LA CALIDAD AMBIENTAL EN LA CIUDAD DE TACNA,ANALISTA,Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,250.00",29/01/2025,11/02/2025,1 AÑO,TITULO PROFESIONAL UNIVERSITARIO,LICENCIADO EN COMUNICACION SOCIAL,GESTION PUBLICA MUNICIPAL,"REALIZAR DIOSEÑOS VIRTUALES COMO FLAYERS, TARJETAS DE SALUDO, ANIVERSARIOS, OBITUARIOS, CARTAS Y DEMAS SOPORTES COMUNICACIONALES","ASISTENTE PROFESIONAL  ""H""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,250.00",29/01/2025,11/02/2025,1 AÑO,TITULO PROFESIONAL UNIVERSITARIO,"INGENIERIA COMERCIAL, ADMINISTRACION O AFINES",GESTION PUBLICA MUNICIPAL,PROCESOS ADMINISTRATIVOS DE ADQUISICION DE BIENES Y SERVICIOS DE LA SGSC,"ASISTENTE PROFESIONAL  ""G""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,250.00",29/01/2025,11/02/2025,6 MESES,TITULO PROFESIONAL UNIVERSITARIO,INGENIERIA DE SISTEMAS E INFORMATICA O AFINES,GESTION PUBLICA MUNICIPAL,"FORMULAR, EJECUTAR Y EVALUAR DEL PLAN DE ACCION PROVINCIAL DE SEGURIDAD CIUDADANA 2025","ASISTENTE PROFESIONAL  ""F""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,250.00",29/01/2025,11/02/2025,6 MESES,BACHILLER UNIVERSITARIO,INGENIERIA MECANICA O AFINES,GESTION PUBLICA MUNICIPAL,GESTION ADMINISTRATIVA DEL PARQUE AUTOMOTOR DE LA SGSC,"ASISTENTE PROFESIONAL  ""E""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,250.00",29/01/2025,11/02/2025,6 MESES,TITULO PROFESIONAL UNIVERSITARIO,INGENIERIA ELECTRONICA O AFINES,GESTION PUBLICA MUNICIPAL,"MANTENIMIENTO DE CAMARAS, EQUIPOS Y RDES ELECTRONICAS DE LA CENTRAL DE VIDEO VIGILANCIA DE LA SGSC","ASISTENTE PROFESIONAL  ""C""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,250.00",29/01/2025,11/02/2025,6 MESES,BACHILLER UNIVERSITARIO,INGENIERIA COMERCIAL O A FINES,GESTION PUBLICA MUNICIPAL,CONTROL DE INGRESO Y EGRESO DE BIENES EN LA SGSC,"ASISTENTE PROFESIONAL  ""B""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,250.00",29/01/2025,11/02/2025,6 MESES,BACHILLER UNIVERSITARIO,INGENIERIA COMERCIAL O A FINES,GESTION PUBLICA MUNICIPAL,REGISTRO Y ORDENAMIENTO DE EXPEDIENTES ADMINISTRATIVOS EMITIDOS Y REMITIDOS DE LA SGSC,"ASISTENTE PROFESIONAL  ""A""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 1,600.00",29/01/2025,11/02/2025,1 AÑO,TITULO DE TECNICO 3 AÑOS O 6 SEMESTRES ACADEMICOS UNIVERSITARIOS,"CONTABILIDAD, ADMINISTRACION O A FINES",GESTION PUBLICA MUNICIPAL,"PROYECTAR, EVALUAR Y EMITIR INFORMES Y UNA ADECVUADA ATENCION AL CIUDADANO",APOYO ADMINISTRATIVO TECNICO,Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,800.00",29/01/2025,11/02/2025,1 AÑO,TITULO PROFESIONAL UNIVERSITARIO,INGENIERIA CIVIL O AFINES,GESTION PUBLICA MUNICIPAL,PREVENCIONISTA DE SEGURIDAD Y SALUD EN EL TRABAJO,"ANALISTA ""B""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,800.00",29/01/2025,11/02/2025,1 AÑO,TITULO PROFESIONAL UNIVERSITARIO,COMUNICACION SOCIAL O AFINES,GESTION PUBLICA MUNICIPAL,REDACCION DE ACTIVIDADES REALIZADAS POR EL PERSONAL DE SERENAZGO DE LA SGSC,"ANALISTA  ""F""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,800.00",29/01/2025,11/02/2025,1 AÑO,TITULO PROFESIONAL UNIVERSITARIO,CONTABILIDAD O AFINES,GESTION PUBLICA MUNICIPAL,RESPONSABLE DE LOS PROCESOS ADMINISTRATIVOS DEL COMPROMISO N°05-SIPCOP - M,"ANALISTA  ""E""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,800.00",29/01/2025,11/02/2025,1 AÑO,TITULO PROFESIONAL UNIVERSITARIO,INGENIERIA DE SISTEMAS O AFINES,GESTION PUBLICA MUNICIPAL,"PLANIFICAR , EJECUTAR Y EVALUAR DEL PLAN DE ACCION DE VIDEO VIGILANCIA","ANALISTA  ""D""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,800.00",29/01/2025,11/02/2025,1 AÑO,TITULO PROFESIONAL UNIVERSITARIO,DERECHO,GESTION PUBLICA MUNICIPAL,BRINDAR ASESORAMIENTO LEGAL Y EMISION DE INFORMES,"ANALISTA  ""C""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,800.00",29/01/2025,11/02/2025,1 AÑO,TITULO PROFESIONAL UNIVERSITARIO,"CONTABILIDAD, ADMINISTRACION O A FINES",GESTION PUBLICA MUNICIPAL,SELECCION Y PROCESAMIENTO DE INFORMACION DE LOS SERVICIOS DE LA SGSC,"ANALISTA  ""A""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,"S/. 2,250.00",29/01/2025,11/02/2025,6 MESES,TITULO PROFESIONAL UNIVERSITARIO,DERECHO,GESTION PUBLICA MUNICIPAL,SUPERVISION DE LAS ACTIVIDADES DEL COMPROMISO N°5,"ASISTENTE PROFESIONAL ""D""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",3,D.Leg 1057 - Determinado (Necesidad Transitoria)-006,"S/. 3,300.00",28/01/2025,10/02/2025,2 AÑOS,TITULO PROFESIONAL UNIVERSITARIO,ARQUITECTURA O INGENIERIA CIVIL,GESTION PUBLICA MUNICIPAL,"REVISION, EVALUACION  TYECNICA ADMINISTRATIVA DE LOS PROCEDIMIENTOS ESTABLECIDOS","ESPECIALISTA 1 ""E""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",2,D.Leg 1057 - Determinado (Necesidad Transitoria)-006,"S/. 3,300.00",28/01/2025,10/02/2025,2 AÑOS,TITULO PROFESIONAL UNIVERSITARIO,ARQUITECTURA.,GESTION PUBLICA MUNICIPAL,"PROGRAMAR, ORGANIZAR Y ESTABLECER LOS PROCESOS PARA LA RECEPCION, EVALUACION Y ATENCION DE EXPEDIENTES","ESPECIALISTA 1  ""A""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-006,"S/. 2,250.00",28/01/2025,10/02/2025,1 AÑO,BACHILLER UNIVERSITARIO,ARQUITECTURA O INGENIERIA CIVIL,GESTION PUBLICA MUNICIPAL,PROYECCION DE INFORMES TECNICOS EVALUACION DE PROCEDIMIENTOS ADMINISTRATIVOS Y TECNICOS,"ASISTENTE PROFESIONAL ""H""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-006,"S/. 2,250.00",28/01/2025,10/02/2025,1 AÑO,BACHILLER UNIVERSITARIO,ARQUITECTURA O INGENIERIA,GESTION PUBLICA MUNICIPAL,PROCESAR TRAMITES PARA LA EMISION DE RESOLUCIONES,"ASISTENTE PROFESIONAL ""E""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-006,"S/. 2,250.00",28/01/2025,10/02/2025,1 AÑO,BACHILLER UNIVERSITARIO,ARQUITECTURA O INGENIERIA.,GESTION PUBLICA MUNICIPAL,RESPONSABLE DE EVALUACION Y EMITIR PROYECCION DE OPICNION DE MANERA TECNIC A LA INSTALACION DE LAS REDES,"ASISTENTE PROFESIONAL ""D""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-006,"S/. 2,800.00",28/01/2025,10/02/2025,1 AÑO,TITULO PROFESIONAL UNIVERSITARIO,ARQUITECTURA.,GESTION PUBLICA MUNICIPAL,APLICAR LAS NORMAS DEL TITULO II DEL RNE,ANALISTA,Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",2,D.Leg 1057 - Determinado (Necesidad Transitoria)-006,"S/. 2,250.00",28/01/2025,10/02/2025,6 MESES,BACHILLER UNIVERSITARIO,"CONTABILIDAD, ADMINISTRACION, DERECHO O A FINES",GESTION PUBLICA MUNICIPAL,"APOYO EN LA EVALUACION DE PROCESOS DE ADJUDICACION, TRITULACION Y REVERSION DE LOTES","ASISTENTE PROFESIONAL ""A""",Municipalidad Provincial De Tacna,TACNA - TACNA
"https://www.munitacna,gob.pe",1,D.Leg 1057 - Determinado (Necesidad Transitoria)-006,"S/. 2,250.00",27/01/2025,07/02/2025,1 AÑO,BACHILLER UNIVERSITARIO,ARQUITECTURA O INGENIERIA CIVIL,GESTION PUBLICA MUNICIPAL,PROYECCION DE INFORMES TECNICOS DE TRAMITES PROPIOS DE LA GERENCIA,"ASISTENTE PROFESIONAL  ""A""",Municipalidad Provincial De Tacna,TACNA - TACNA
